origin,destination,distance_km
Busan,WH_0001,340.94
Busan,WH_0002,329.88
Busan,WH_0003,329.06
Busan,WH_0004,322.65
Busan,WH_0005,369.03
Busan,WH_0006,331.0
Busan,WH_0007,326.21
Busan,WH_0008,334.05
Busan,WH_0009,335.1
Busan,WH_0010,340.05
Busan,WH_0011,330.77
Busan,WH_0012,317.15
Busan,WH_0013,334.08
Busan,WH_0014,334.15
Busan,WH_0015,342.83
Busan,WH_0016,318.41
Busan,WH_0017,321.89
Busan,WH_0018,361.29
Busan,WH_0019,335.22
Busan,WH_0020,333.75
Busan,WH_0021,331.45
Busan,WH_0022,329.69
Busan,WH_0023,335.07
Busan,WH_0024,326.54
Busan,WH_0025,316.95
Busan,WH_0026,312.43
Busan,WH_0027,318.45
Busan,WH_0028,323.1
Busan,WH_0029,327.12
Busan,WH_0030,309.91
Busan,WH_0031,320.54
Busan,WH_0032,7.36
Busan,WH_0033,10.66
Busan,WH_0034,21.45
Busan,WH_0035,37.4
Busan,WH_0036,30.0
Busan,WH_0037,16.22
Busan,WH_0038,13.57
Busan,WH_0039,26.2
Busan,WH_0040,15.58
Busan,WH_0041,33.31
Busan,WH_0042,24.64
Busan,WH_0043,16.98
Busan,WH_0044,10.0
Busan,WH_0045,11.34
Busan,WH_0046,2.89
Busan,WH_0047,19.38
Busan,WH_0048,21.79
Busan,WH_0049,25.92
Busan,WH_0050,28.11
Busan,WH_0051,13.88
Busan,WH_0052,26.34
Busan,WH_0053,29.76
Busan,WH_0054,34.21
Busan,WH_0055,25.08
Busan,WH_0056,32.72
Busan,WH_0057,6.42
Busan,WH_0058,17.85
Busan,WH_0059,14.19
Busan,WH_0060,17.69
Busan,WH_0061,17.82
Busan,WH_0062,13.3
Busan,WH_0063,18.77
Busan,WH_0064,9.56
Busan,WH_0065,3.55
Busan,WH_0066,14.56
Busan,WH_0067,31.72
Busan,WH_0068,31.96
Busan,WH_0069,10.51
Busan,WH_0070,18.75
Busan,WH_0071,26.94
Busan,WH_0072,25.31
Busan,WH_0073,30.59
Busan,WH_0074,24.71
Busan,WH_0075,26.44
Busan,WH_0076,12.35
Busan,WH_0077,30.25
Busan,WH_0078,12.91
Busan,WH_0079,15.38
Busan,WH_0080,14.34
Busan,WH_0081,13.0
Busan,WH_0082,14.33
Busan,WH_0083,10.38
Busan,WH_0084,12.79
Busan,WH_0085,27.72
Busan,WH_0086,3.63
Busan,WH_0087,25.02
Busan,WH_0088,22.07
Busan,WH_0089,15.28
Busan,WH_0090,14.92
Busan,WH_0091,21.54
Busan,WH_0092,15.45
Busan,WH_0093,10.3
Busan,WH_0094,16.13
Busan,WH_0095,7.95
Busan,WH_0096,9.0
Busan,WH_0097,28.7
Busan,WH_0098,17.26
Busan,WH_0099,36.68
Busan,WH_0100,5.87
Busan,WH_0101,6.22
Busan,WH_0102,37.02
Busan,WH_0103,29.19
Busan,WH_0104,11.07
Busan,WH_0105,4.54
Busan,WH_0106,18.15
Busan,WH_0107,6.62
Busan,WH_0108,15.2
Busan,WH_0109,14.09
Busan,WH_0110,12.08
Busan,WH_0111,23.48
Busan,WH_0112,33.03
Busan,WH_0113,36.02
Busan,WH_0114,3.93
Busan,WH_0115,40.83
Busan,WH_0116,13.77
Busan,WH_0117,14.67
Busan,WH_0118,31.21
Busan,WH_0119,16.59
Busan,WH_0120,29.4
Busan,WH_0121,6.39
Busan,WH_0122,29.8
Busan,WH_0123,27.85
Busan,WH_0124,28.06
Busan,WH_0125,5.53
Busan,WH_0126,3.28
Busan,WH_0127,34.44
Busan,WH_0128,39.67
Busan,WH_0129,0.4
Busan,WH_0130,8.18
Busan,WH_0131,91.45
Busan,WH_0132,91.34
Busan,WH_0133,43.16
Busan,WH_0134,63.75
Busan,WH_0135,75.65
Busan,WH_0136,110.35
Busan,WH_0137,106.31
Busan,WH_0138,103.81
Busan,WH_0139,87.3
Busan,WH_0140,96.94
Busan,WH_0141,68.3
Busan,WH_0142,81.44
Busan,WH_0143,102.89
Busan,WH_0144,108.0
Busan,WH_0145,61.67
Busan,WH_0146,127.77
Busan,WH_0147,91.8
Busan,WH_0148,94.18
Busan,WH_0149,88.79
Busan,WH_0150,85.28
Busan,WH_0151,63.59
Busan,WH_0152,85.3
Busan,WH_0153,86.46
Busan,WH_0154,314.58
Busan,WH_0155,339.73
Busan,WH_0156,329.65
Busan,WH_0157,319.93
Busan,WH_0158,326.32
Busan,WH_0159,339.35
Busan,WH_0160,321.57
Busan,WH_0161,308.97
Busan,WH_0162,361.03
Busan,WH_0163,313.52
Busan,WH_0164,311.09
Busan,WH_0165,351.05
Busan,WH_0166,358.44
Busan,WH_0167,344.22
Busan,WH_0168,337.78
Busan,WH_0169,323.53
Busan,WH_0170,336.84
Busan,WH_0171,330.12
Busan,WH_0172,337.5
Busan,WH_0173,344.33
Busan,WH_0174,330.74
Busan,WH_0175,307.64
Busan,WH_0176,338.88
Busan,WH_0177,346.77
Busan,WH_0178,328.46
Busan,WH_0179,337.37
Busan,WH_0180,320.93
Busan,WH_0181,347.47
Busan,WH_0182,309.61
Busan,WH_0183,322.47
Busan,WH_0184,330.72
Busan,WH_0185,312.39
Busan,WH_0186,327.59
Busan,WH_0187,322.26
Busan,WH_0188,321.12
Busan,WH_0189,358.69
Busan,WH_0190,328.15
Busan,WH_0191,313.02
Busan,WH_0192,334.25
Busan,WH_0193,327.17
Busan,WH_0194,329.14
Busan,WH_0195,353.43
Busan,WH_0196,341.14
Busan,WH_0197,346.32
Busan,WH_0198,358.65
Busan,WH_0199,331.21
Busan,WH_0200,357.92
Busan,WH_0201,320.09
Busan,WH_0202,357.85
Busan,WH_0203,320.17
Busan,WH_0204,328.11
Busan,WH_0205,324.18
Busan,WH_0206,320.78
Busan,WH_0207,336.71
Busan,WH_0208,334.37
Busan,WH_0209,327.03
Busan,WH_0210,316.94
Busan,WH_0211,320.02
Busan,WH_0212,343.01
Busan,WH_0213,321.25
Busan,WH_0214,331.07
Busan,WH_0215,326.81
Busan,WH_0216,336.64
Busan,WH_0217,352.85
Busan,WH_0218,311.27
Busan,WH_0219,320.1
Busan,WH_0220,334.44
Busan,WH_0221,333.34
Busan,WH_0222,333.27
Busan,WH_0223,338.38
Busan,WH_0224,336.23
Busan,WH_0225,363.1
Busan,WH_0226,322.16
Busan,WH_0227,324.33
Busan,WH_0228,349.69
