hub_id,month,average_inventory_tons,holding_cost_usd
WH_0001,2023-01,160.0,12058.04
WH_0001,2023-02,448.02,6705.05
WH_0001,2023-03,388.96,10642.69
WH_0001,2023-04,175.89,13986.2
WH_0001,2023-05,488.96,13533.31
WH_0001,2023-06,132.98,8164.16
WH_0001,2023-07,474.3,13641.13
WH_0001,2023-08,371.34,12158.27
WH_0001,2023-09,120.78,9678.9
WH_0001,2023-10,400.61,12594.5
WH_0001,2023-11,401.78,5389.24
WH_0001,2023-12,390.15,15572.17
WH_0002,2023-01,127.5,15099.07
WH_0002,2023-02,341.77,14780.18
WH_0002,2023-03,330.42,15745.91
WH_0002,2023-04,362.76,5480.73
WH_0002,2023-05,320.96,16526.79
WH_0002,2023-06,105.96,5422.21
WH_0002,2023-07,459.26,17079.72
WH_0002,2023-08,101.28,8534.71
WH_0002,2023-09,497.06,15614.93
WH_0002,2023-10,247.52,16518.43
WH_0002,2023-11,208.11,19361.24
WH_0002,2023-12,206.86,19923.8
WH_0003,2023-01,441.6,18870.57
WH_0003,2023-02,101.65,5483.96
WH_0003,2023-03,330.04,11566.23
WH_0003,2023-04,180.33,5601.57
WH_0003,2023-05,128.46,6184.28
WH_0003,2023-06,275.28,14728.49
WH_0003,2023-07,373.58,6927.87
WH_0003,2023-08,258.69,10062.19
WH_0003,2023-09,326.98,14077.86
WH_0003,2023-10,158.4,9020.44
WH_0003,2023-11,396.09,13625.46
WH_0003,2023-12,387.29,12240.96
WH_0004,2023-01,410.67,17758.95
WH_0004,2023-02,489.41,12177.09
WH_0004,2023-03,113.97,17370.49
WH_0004,2023-04,437.33,17748.56
WH_0004,2023-05,292.68,12798.82
WH_0004,2023-06,317.25,17504.18
WH_0004,2023-07,122.63,13408.05
WH_0004,2023-08,160.96,10536.95
WH_0004,2023-09,453.91,11341.23
WH_0004,2023-10,443.54,17355.92
WH_0004,2023-11,287.97,13324.07
WH_0004,2023-12,291.5,11976.99
WH_0005,2023-01,446.05,15770.24
WH_0005,2023-02,394.02,6474.43
WH_0005,2023-03,490.61,6584.27
WH_0005,2023-04,317.63,7999.42
WH_0005,2023-05,253.3,12719.87
WH_0005,2023-06,312.93,15242.69
WH_0005,2023-07,103.75,12534.32
WH_0005,2023-08,321.79,9035.76
WH_0005,2023-09,431.12,9725.5
WH_0005,2023-10,164.94,6487.02
WH_0005,2023-11,146.26,12191.76
WH_0005,2023-12,170.35,10679.11
WH_0006,2023-01,184.39,11118.6
WH_0006,2023-02,344.32,11502.57
WH_0006,2023-03,244.52,17251.72
WH_0006,2023-04,357.16,19216.58
WH_0006,2023-05,218.66,9775.64
WH_0006,2023-06,166.89,14905.2
WH_0006,2023-07,110.09,16140.27
WH_0006,2023-08,383.46,10862.11
WH_0006,2023-09,134.57,10193.41
WH_0006,2023-10,485.56,5082.0
WH_0006,2023-11,389.99,5372.65
WH_0006,2023-12,435.39,8082.75
WH_0007,2023-01,496.05,5835.13
