hub_id,peak_month,ot_hours,flex_cost_usd
WH_0001,2023-11,197.1,4650.11
WH_0001,2023-12,53.8,5167.29
WH_0002,2023-11,151.4,6745.77
WH_0002,2023-12,187.9,4559.29
WH_0003,2023-11,146.1,2385.61
WH_0003,2023-12,165.7,7285.14
WH_0004,2023-11,100.8,5875.9
WH_0004,2023-12,150.2,6987.96
WH_0005,2023-11,104.3,5847.26
WH_0005,2023-12,129.2,5181.05
WH_0006,2023-11,132.1,5748.92
WH_0006,2023-12,83.6,5916.32
WH_0007,2023-11,191.6,2915.65
WH_0007,2023-12,68.8,6048.56
WH_0008,2023-11,76.1,5504.33
WH_0008,2023-12,126.3,3273.06
WH_0009,2023-11,185.0,9041.47
WH_0009,2023-12,141.8,8314.42
WH_0010,2023-11,136.2,7859.22
WH_0010,2023-12,76.2,4556.77
WH_0011,2023-11,66.6,4878.02
WH_0011,2023-12,50.7,6829.45
WH_0012,2023-11,79.8,7402.72
WH_0012,2023-12,159.0,7948.86
WH_0013,2023-11,175.7,3298.1
WH_0013,2023-12,146.7,2734.92
WH_0014,2023-11,185.6,8716.62
WH_0014,2023-12,108.6,5208.67
WH_0015,2023-11,148.7,9328.97
WH_0015,2023-12,155.3,4337.19
WH_0016,2023-11,124.8,4999.42
WH_0016,2023-12,140.7,4616.63
WH_0017,2023-11,53.0,9021.44
WH_0017,2023-12,187.6,9291.81
WH_0018,2023-11,154.2,5088.56
WH_0018,2023-12,194.7,2364.47
WH_0019,2023-11,57.2,9307.29
WH_0019,2023-12,181.6,4218.7
WH_0020,2023-11,163.1,6701.23
WH_0020,2023-12,193.8,9357.78
WH_0021,2023-11,156.0,3288.63
WH_0021,2023-12,104.4,9013.94
WH_0022,2023-11,147.1,7376.67
WH_0022,2023-12,132.9,9744.38
WH_0023,2023-11,140.1,4471.9
WH_0023,2023-12,118.6,9291.75
WH_0024,2023-11,164.6,7045.64
WH_0024,2023-12,100.7,7568.61
WH_0025,2023-11,79.7,2967.68
WH_0025,2023-12,122.4,3620.27
WH_0026,2023-11,185.7,3565.13
WH_0026,2023-12,91.1,5884.74
WH_0027,2023-11,101.4,5679.2
WH_0027,2023-12,166.5,3445.49
WH_0028,2023-11,191.4,5610.59
WH_0028,2023-12,112.5,5612.17
WH_0029,2023-11,117.4,9478.28
WH_0029,2023-12,120.2,3786.63
WH_0030,2023-11,160.0,5924.07
WH_0030,2023-12,131.2,3191.11
WH_0031,2023-11,142.1,2407.79
WH_0031,2023-12,168.2,5096.96
WH_0032,2023-11,95.9,8239.72
WH_0032,2023-12,145.0,8356.96
WH_0033,2023-11,63.6,7487.2
WH_0033,2023-12,178.0,8543.65
WH_0034,2023-11,109.7,3193.88
WH_0034,2023-12,169.8,9558.01
WH_0035,2023-11,54.8,3000.29
WH_0035,2023-12,145.7,7906.7
WH_0036,2023-11,65.5,6114.73
WH_0036,2023-12,158.8,2914.62
WH_0037,2023-11,123.3,4710.34
WH_0037,2023-12,148.5,2978.43
WH_0038,2023-11,158.4,3216.34
WH_0038,2023-12,100.3,3252.13
WH_0039,2023-11,176.0,8302.83
WH_0039,2023-12,171.5,3487.79
WH_0040,2023-11,143.4,5722.92
WH_0040,2023-12,108.9,8452.37
WH_0041,2023-11,65.2,5679.24
WH_0041,2023-12,171.7,7077.16
WH_0042,2023-11,156.6,2579.79
WH_0042,2023-12,139.7,4048.74
WH_0043,2023-11,79.9,5425.3
WH_0043,2023-12,153.3,2302.94
WH_0044,2023-11,52.0,3939.15
WH_0044,2023-12,62.8,8662.13
WH_0045,2023-11,195.7,4193.05
WH_0045,2023-12,159.5,4918.55
WH_0046,2023-11,105.9,9541.67
WH_0046,2023-12,167.4,6966.93
WH_0047,2023-11,147.1,4199.42
WH_0047,2023-12,194.3,8649.34
WH_0048,2023-11,146.0,8014.17
WH_0048,2023-12,144.5,6484.1
WH_0049,2023-11,114.0,2917.22
WH_0049,2023-12,164.1,9291.68
WH_0050,2023-11,86.6,2624.62
WH_0050,2023-12,109.0,9751.76
WH_0051,2023-11,58.6,9042.49
WH_0051,2023-12,155.4,8121.06
WH_0052,2023-11,192.4,3703.18
WH_0052,2023-12,155.6,2592.22
WH_0053,2023-11,166.5,7285.9
WH_0053,2023-12,172.1,8417.35
WH_0054,2023-11,163.2,2113.65
WH_0054,2023-12,57.0,7757.6
WH_0055,2023-11,152.2,4239.79
WH_0055,2023-12,79.7,4076.84
WH_0056,2023-11,128.8,6836.08
WH_0056,2023-12,153.1,2306.77
WH_0057,2023-11,155.9,4221.37
WH_0057,2023-12,58.8,9633.84
WH_0058,2023-11,113.0,3640.55
WH_0058,2023-12,182.5,2631.91
WH_0059,2023-11,78.4,6023.82
WH_0059,2023-12,85.2,6611.16
WH_0060,2023-11,172.1,7162.63
WH_0060,2023-12,184.0,3116.64
WH_0061,2023-11,149.0,2020.68
WH_0061,2023-12,96.3,3195.98
WH_0062,2023-11,165.7,5871.85
WH_0062,2023-12,122.4,8848.51
WH_0063,2023-11,162.4,6541.28
WH_0063,2023-12,174.7,9255.89
WH_0064,2023-11,129.5,2821.64
WH_0064,2023-12,124.6,9933.39
WH_0065,2023-11,163.4,6613.96
WH_0065,2023-12,185.0,4653.84
WH_0066,2023-11,192.4,4160.53
WH_0066,2023-12,189.2,4719.04
WH_0067,2023-11,101.0,4467.17
WH_0067,2023-12,155.8,8219.94
WH_0068,2023-11,100.9,2683.94
WH_0068,2023-12,148.6,9164.15
WH_0069,2023-11,81.2,4172.83
WH_0069,2023-12,67.8,3127.2
WH_0070,2023-11,83.2,2897.29
WH_0070,2023-12,97.3,7561.21
WH_0071,2023-11,129.8,7136.43
WH_0071,2023-12,67.0,9337.42
WH_0072,2023-11,118.0,5609.43
WH_0072,2023-12,150.0,6627.25
WH_0073,2023-11,171.3,2019.33
WH_0073,2023-12,151.9,6094.82
WH_0074,2023-11,191.9,9622.27
WH_0074,2023-12,58.4,5514.19
WH_0075,2023-11,91.7,5301.38
WH_0075,2023-12,50.4,5380.83
WH_0076,2023-11,119.0,2066.04
WH_0076,2023-12,80.6,5709.47
WH_0077,2023-11,140.1,6079.28
WH_0077,2023-12,187.0,8546.61
WH_0078,2023-11,122.5,4434.83
WH_0078,2023-12,116.4,8762.97
