lane_id,distance_km,delayed_shipments,penalty_cost_usd
Busan-WH_0001,340.94,2,1271.32
Busan-WH_0002,329.88,6,1399.5
Busan-WH_0003,329.06,2,681.99
Busan-WH_0004,322.65,19,1413.67
Busan-WH_0005,369.03,2,1438.57
Busan-WH_0006,331.0,18,130.4
Busan-WH_0007,326.21,3,1414.61
Busan-WH_0008,334.05,8,1210.47
Busan-WH_0009,335.1,2,715.37
Busan-WH_0010,340.05,5,573.56
Busan-WH_0011,330.77,17,1435.49
Busan-WH_0012,317.15,8,1043.02
Busan-WH_0013,334.08,14,601.05
Busan-WH_0014,334.15,3,868.09
Busan-WH_0015,342.83,5,521.03
Busan-WH_0016,318.41,4,532.81
Busan-WH_0017,321.89,7,1282.0
Busan-WH_0018,361.29,18,1087.37
Busan-WH_0019,335.22,17,668.64
Busan-WH_0020,333.75,5,277.19
Busan-WH_0021,331.45,13,645.24
Busan-WH_0022,329.69,3,246.66
Busan-WH_0023,335.07,16,969.48
Busan-WH_0024,326.54,8,1118.77
Busan-WH_0025,316.95,5,846.78
Busan-WH_0026,312.43,10,305.47
Busan-WH_0027,318.45,6,1381.49
Busan-WH_0028,323.1,19,238.22
Busan-WH_0029,327.12,5,1270.32
Busan-WH_0030,309.91,10,588.71
Busan-WH_0031,320.54,3,150.09
Busan-WH_0154,314.58,6,1377.14
Busan-WH_0155,339.73,11,1019.53
Busan-WH_0156,329.65,9,1345.48
Busan-WH_0157,319.93,14,1104.84
Busan-WH_0158,326.32,8,328.6
Busan-WH_0159,339.35,8,1151.33
Busan-WH_0160,321.57,6,1250.05
Busan-WH_0161,308.97,12,515.81
Busan-WH_0162,361.03,18,640.87
Busan-WH_0163,313.52,5,1352.39
Busan-WH_0164,311.09,18,1030.35
Busan-WH_0165,351.05,17,583.43
Busan-WH_0166,358.44,10,108.53
Busan-WH_0167,344.22,2,902.69
Busan-WH_0168,337.78,15,1469.84
Busan-WH_0169,323.53,13,713.17
Busan-WH_0170,336.84,2,399.26
Busan-WH_0171,330.12,2,1067.85
Busan-WH_0172,337.5,10,156.05
Busan-WH_0173,344.33,18,160.98
Busan-WH_0174,330.74,18,811.67
Busan-WH_0175,307.64,6,1056.36
Busan-WH_0176,338.88,6,867.49
Busan-WH_0177,346.77,8,417.94
Busan-WH_0178,328.46,2,782.63
Busan-WH_0179,337.37,17,891.93
Busan-WH_0180,320.93,11,1058.7
Busan-WH_0181,347.47,11,1400.11
Busan-WH_0182,309.61,17,189.88
Busan-WH_0183,322.47,8,796.73
Busan-WH_0184,330.72,5,941.4
Busan-WH_0185,312.39,2,952.06
Busan-WH_0186,327.59,6,1273.9
Busan-WH_0187,322.26,1,749.15
Busan-WH_0188,321.12,19,504.91
Busan-WH_0189,358.69,19,1280.79
Busan-WH_0190,328.15,4,1241.69
Busan-WH_0191,313.02,2,757.21
Busan-WH_0192,334.25,6,1490.23
Busan-WH_0193,327.17,8,708.63
Busan-WH_0194,329.14,6,910.83
Busan-WH_0195,353.43,14,984.92
Busan-WH_0196,341.14,7,1151.39
Busan-WH_0197,346.32,9,281.92
Busan-WH_0198,358.65,2,582.61
Busan-WH_0199,331.21,13,147.55
Busan-WH_0200,357.92,7,230.93
Busan-WH_0201,320.09,17,301.88
Busan-WH_0202,357.85,18,878.69
Busan-WH_0203,320.17,2,327.39
Busan-WH_0204,328.11,5,297.34
Busan-WH_0205,324.18,12,257.12
Busan-WH_0206,320.78,5,637.14
Busan-WH_0207,336.71,16,463.98
Busan-WH_0208,334.37,6,1425.34
Busan-WH_0209,327.03,12,634.71
Busan-WH_0210,316.94,17,276.48
Busan-WH_0211,320.02,11,1048.72
Busan-WH_0212,343.01,18,1349.02
Busan-WH_0213,321.25,3,636.44
Busan-WH_0214,331.07,8,277.46
Busan-WH_0215,326.81,9,1287.92
Busan-WH_0216,336.64,12,1240.05
Busan-WH_0217,352.85,12,877.29
Busan-WH_0218,311.27,4,1002.84
Busan-WH_0219,320.1,9,915.91
Busan-WH_0220,334.44,12,675.23
Busan-WH_0221,333.34,5,624.42
Busan-WH_0222,333.27,14,949.12
Busan-WH_0223,338.38,7,259.14
Busan-WH_0224,336.23,13,533.78
Busan-WH_0225,363.1,2,278.81
Busan-WH_0226,322.16,19,291.52
Busan-WH_0227,324.33,11,406.5
Busan-WH_0228,349.69,15,1045.23
Busan-WH_0229,330.91,12,1155.61
Busan-WH_0230,330.73,4,1463.7
Busan-WH_0231,326.92,5,235.39
Busan-WH_0232,354.56,8,403.64
Busan-WH_0233,342.6,16,271.75
Busan-WH_0234,314.54,10,248.51
Busan-WH_0235,341.96,2,100.42
