region_code,region,product_family,month,seasonal_index,monthly_demand_ton,annual_demand_ton
KR01,Seoul,Fresh_Food,12,1.18,393.88,2790.08
KR01,Seoul,Fresh_Food,1,1.42,818.73,2790.08
KR01,Seoul,Fresh_Food,2,0.88,295.83,2790.08
KR01,Seoul,Fresh_Food,3,1.02,474.06,2790.08
KR01,Seoul,Fresh_Food,4,1.12,417.59,2790.08
KR01,Seoul,Fresh_Food,5,1.18,389.99,2790.08
KR02,Busan,Fresh_Food,12,1.18,88.08,574.19
KR02,Busan,Fresh_Food,1,1.42,150.71,574.19
KR02,Busan,Fresh_Food,2,0.88,54.12,574.19
KR02,Busan,Fresh_Food,3,1.02,78.41,574.19
KR02,Busan,Fresh_Food,4,1.12,96.1,574.19
KR02,Busan,Fresh_Food,5,1.18,106.77,574.19
KR03,Daegu,Fresh_Food,12,1.18,78.53,502.4
KR03,Daegu,Fresh_Food,1,1.42,135.12,502.4
KR03,Daegu,Fresh_Food,2,0.88,30.48,502.4
KR03,Daegu,Fresh_Food,3,1.02,92.05,502.4
KR03,Daegu,Fresh_Food,4,1.12,90.93,502.4
KR03,Daegu,Fresh_Food,5,1.18,75.29,502.4
KR04,Incheon,Fresh_Food,12,1.18,89.63,738.07
KR04,Incheon,Fresh_Food,1,1.42,262.61,738.07
KR04,Incheon,Fresh_Food,2,0.88,65.91,738.07
KR04,Incheon,Fresh_Food,3,1.02,119.68,738.07
KR04,Incheon,Fresh_Food,4,1.12,103.34,738.07
KR04,Incheon,Fresh_Food,5,1.18,96.9,738.07
KR05,Gwangju,Fresh_Food,12,1.18,104.28,515.95
KR05,Gwangju,Fresh_Food,1,1.42,92.36,515.95
KR05,Gwangju,Fresh_Food,2,0.88,44.33,515.95
KR05,Gwangju,Fresh_Food,3,1.02,102.85,515.95
KR05,Gwangju,Fresh_Food,4,1.12,85.38,515.95
KR05,Gwangju,Fresh_Food,5,1.18,86.75,515.95
KR06,Daejeon,Fresh_Food,12,1.18,55.11,384.48
KR06,Daejeon,Fresh_Food,1,1.42,135.26,384.48
KR06,Daejeon,Fresh_Food,2,0.88,22.32,384.48
KR06,Daejeon,Fresh_Food,3,1.02,37.97,384.48
KR06,Daejeon,Fresh_Food,4,1.12,72.35,384.48
KR06,Daejeon,Fresh_Food,5,1.18,61.47,384.48
KR07,Ulsan,Fresh_Food,12,1.18,0,0
KR07,Ulsan,Fresh_Food,1,1.42,0,0
KR07,Ulsan,Fresh_Food,2,0.88,0,0
KR07,Ulsan,Fresh_Food,3,1.02,0,0
KR07,Ulsan,Fresh_Food,4,1.12,0,0
KR07,Ulsan,Fresh_Food,5,1.18,0,0
KR08,Sejong,Fresh_Food,12,1.18,0,0
KR08,Sejong,Fresh_Food,1,1.42,0,0
KR08,Sejong,Fresh_Food,2,0.88,0,0
KR08,Sejong,Fresh_Food,3,1.02,0,0
KR08,Sejong,Fresh_Food,4,1.12,0,0
KR08,Sejong,Fresh_Food,5,1.18,0,0
KR09,Gyeonggi,Fresh_Food,12,1.18,239.5,1395.75
KR09,Gyeonggi,Fresh_Food,1,1.42,300.74,1395.75
KR09,Gyeonggi,Fresh_Food,2,0.88,143.58,1395.75
KR09,Gyeonggi,Fresh_Food,3,1.02,288.4,1395.75
KR09,Gyeonggi,Fresh_Food,4,1.12,213.45,1395.75
KR09,Gyeonggi,Fresh_Food,5,1.18,210.08,1395.75
KR10,Gangwon,Fresh_Food,12,1.18,0,0
KR10,Gangwon,Fresh_Food,1,1.42,0,0
KR10,Gangwon,Fresh_Food,2,0.88,0,0
KR10,Gangwon,Fresh_Food,3,1.02,0,0
KR10,Gangwon,Fresh_Food,4,1.12,0,0
KR10,Gangwon,Fresh_Food,5,1.18,0,0
KR11,Chungbuk,Fresh_Food,12,1.18,0,0
KR11,Chungbuk,Fresh_Food,1,1.42,0,0
KR11,Chungbuk,Fresh_Food,2,0.88,0,0
KR11,Chungbuk,Fresh_Food,3,1.02,0,0
KR11,Chungbuk,Fresh_Food,4,1.12,0,0
KR11,Chungbuk,Fresh_Food,5,1.18,0,0
KR12,Chungnam,Fresh_Food,12,1.18,0,0
KR12,Chungnam,Fresh_Food,1,1.42,0,0
KR12,Chungnam,Fresh_Food,2,0.88,0,0
KR12,Chungnam,Fresh_Food,3,1.02,0,0
KR12,Chungnam,Fresh_Food,4,1.12,0,0
KR12,Chungnam,Fresh_Food,5,1.18,0,0
KR13,Jeonbuk,Fresh_Food,12,1.18,0,0
KR13,Jeonbuk,Fresh_Food,1,1.42,0,0
KR13,Jeonbuk,Fresh_Food,2,0.88,0,0
KR13,Jeonbuk,Fresh_Food,3,1.02,0,0
KR13,Jeonbuk,Fresh_Food,4,1.12,0,0
KR13,Jeonbuk,Fresh_Food,5,1.18,0,0
KR14,Jeonnam,Fresh_Food,12,1.18,0,0
KR14,Jeonnam,Fresh_Food,1,1.42,0,0
KR14,Jeonnam,Fresh_Food,2,0.88,0,0
KR14,Jeonnam,Fresh_Food,3,1.02,0,0
KR14,Jeonnam,Fresh_Food,4,1.12,0,0
KR14,Jeonnam,Fresh_Food,5,1.18,0,0
KR15,Gyeongbuk,Fresh_Food,12,1.18,0,0
KR15,Gyeongbuk,Fresh_Food,1,1.42,0,0
KR15,Gyeongbuk,Fresh_Food,2,0.88,0,0
KR15,Gyeongbuk,Fresh_Food,3,1.02,0,0
KR15,Gyeongbuk,Fresh_Food,4,1.12,0,0
KR15,Gyeongbuk,Fresh_Food,5,1.18,0,0
KR16,Gyeongnam,Fresh_Food,12,1.18,0,0
KR16,Gyeongnam,Fresh_Food,1,1.42,0,0
KR16,Gyeongnam,Fresh_Food,2,0.88,0,0
KR16,Gyeongnam,Fresh_Food,3,1.02,0,0
KR16,Gyeongnam,Fresh_Food,4,1.12,0,0
KR16,Gyeongnam,Fresh_Food,5,1.18,0,0
KR17,Jeju,Fresh_Food,12,1.18,0,0
KR17,Jeju,Fresh_Food,1,1.42,0,0
KR17,Jeju,Fresh_Food,2,0.88,0,0
KR17,Jeju,Fresh_Food,3,1.02,0,0
KR17,Jeju,Fresh_Food,4,1.12,0,0
KR17,Jeju,Fresh_Food,5,1.18,0,0
