hub_id,company_name,region,sido,address,matched_address,lat,lon,area_m2,fixed_cost,capacity_tons,storage_item,geocoding_status
WH_00000,주식회사 컬리넥스트마일,경기도,경기도,"경기도 부천시 오정구 오정로95번길 66, 부천내동 복합물류센터 5층 (내동)",경기 부천시 오정구 오정로95번길 66,37.5271068902974,126.775100955953,8435.73,8435730.0,843573.0,"신선식품, 일상용품",High-Confidence (Kakao)
WH_00001,(주)하나로에스,경기도,경기도,경기도 화성시 병점구 안녕남로 131 (안녕동),경기 화성시 병점구 안녕남로 131,37.1968811678916,126.997462088068,3218.0,3218000.0,321800.0,"전자제품 자재(TV, 가전, 모바일 등)",High-Confidence (Kakao)
WH_00002,㈜아워홈 남오산영업소,경기도,경기도,"경기도 오산시 수목원로88번길 33, 오산로지폴리스물류센터 1동 제지1층 (가수동)",경기 오산시 수목원로88번길 33,37.1432577623474,127.05796999783,11660.56,11660560.0,1166056.0,"가공식품, 포장식품 등",High-Confidence (Kakao)
WH_00003,(주)지에스네트웍스,광주광역시,광주광역시,광주광역시 광산구 평동산단7번로 1 (연산동),광주 광산구 평동산단7번로 1,35.1119618468409,126.749336767914,14830.94,14830939.999999998,1483093.9999999998,공산품 및 냉동냉장식품,High-Confidence (Kakao)
WH_00004,쿠팡로지스틱스서비스(유) 중대동,경기도,경기도,경기도 광주시 순암로 403-17 (중대동),경기 광주시 순암로 403-17,37.4065001803702,127.207674797579,1565.4,1565400.0,156540.0,물류 운송서비스,High-Confidence (Kakao)
WH_00005,한국로지스풀 주식회사,경기도,경기도,경기도 이천시 마장면 마도로223번길 89,경기 이천시 마장면 마도로223번길 89,37.2735722881343,127.350011185088,14090.17,14090170.0,1409017.0,"생활용품, 애견용품, 서적 등",High-Confidence (Kakao)
WH_00006,쿠팡로지스틱스서비스 유한회사,경기도,경기도,경기도 김포시 고촌읍 아라육로152번길 115,경기 김포시 고촌읍 아라육로152번길 115,37.5990127336132,126.784211861361,12180.96,12180960.0,1218096.0,물류 운송 제품,High-Confidence (Kakao)
WH_00007,롯데글로벌로지스(주),세종특별자치시,세종특별자치시,세종특별자치시 부강면 부강외천로 206,세종특별자치시 부강면 부강외천로 206,36.5280144377004,127.38831220751,9575.36,9575360.0,957536.0,변압기,High-Confidence (Kakao)
WH_00008,롯데글로벌로지스(주),경상북도,경상북도,경상북도 칠곡군 지천면 산단터널로 240,경북 칠곡군 지천면 산단터널로 240,35.9543081814529,128.442820948596,6916.8,6916800.0,691680.0,"식자재, 생활용품",High-Confidence (Kakao)
WH_00009,푸드엔 물류센터,경상남도,경상남도,"경상남도 김해시 대동면 대동산단6로 170, 3층",경남 김해시 대동면 대동산단6로 170,35.2739866661051,129.001751934386,11456.47,11456470.000000002,1145647.0,"가공육,수산물, 쌀, 통조림, 기타",High-Confidence (Kakao)
WH_00010,한솔로지스유(주),경상남도,경상남도,"경상남도 양산시 어곡공단6길 50, 4, 5층 (어곡동)",,35.2373,128.6919,17157.02,17157020.0,1715702.0,배터리 셀,Low-Confidence (Fallback)
WH_00011,쿠팡풀필먼트서비스(유),광주광역시,광주광역시,"광주광역시 남구 송암로24번나길 54, 광주부품센터 1동 1층 (송하동)",광주 남구 송암로24번나길 54,35.1131479245216,126.878685666345,2570.63,2570630.0,257063.0,생수외 음료,High-Confidence (Kakao)
