region_code,region,month,seasonal_index,monthly_demand_ton
1,서울특별시,1,1.1,7727882.568705327
1,서울특별시,2,0.92,6463319.966553546
1,서울특별시,3,0.95,6674080.400245508
1,서울특별시,4,0.98,6884840.833937472
1,서울특별시,5,1.0,7025347.789732114
1,서울특별시,6,1.02,7165854.745526757
1,서울특별시,7,1.06,7446868.6571160415
1,서울특별시,8,1.08,7587375.612910684
1,서울특별시,9,1.12,7868389.524499969
1,서울특별시,10,1.03,7236108.223424078
1,서울특별시,11,0.92,6463319.966553546
1,서울특별시,12,0.82,5760785.187580333
2,부산광역시,1,1.1,14056241.73900617
2,부산광역시,2,0.92,11756129.454441523
2,부산광역시,3,0.95,12139481.501868963
2,부산광역시,4,0.98,12522833.549296405
2,부산광역시,5,1.0,12778401.580914699
2,부산광역시,6,1.02,13033969.612532992
2,부산광역시,7,1.06,13545105.67576958
2,부산광역시,8,1.08,13800673.707387876
2,부산광역시,9,1.12,14311809.770624464
2,부산광역시,10,1.03,13161753.62834214
2,부산광역시,11,0.92,11756129.454441523
2,부산광역시,12,0.82,10478289.296350053
3,대구광역시,1,1.1,2628785.0914505864
3,대구광역시,2,0.92,2198620.2583041266
3,대구광역시,3,0.95,2270314.39716187
3,대구광역시,4,0.98,2342008.536019613
3,대구광역시,5,1.0,2389804.628591442
3,대구광역시,6,1.02,2437600.721163271
3,대구광역시,7,1.06,2533192.9063069285
3,대구광역시,8,1.08,2580988.9988787575
3,대구광역시,9,1.12,2676581.1840224154
3,대구광역시,10,1.03,2461498.7674491853
3,대구광역시,11,0.92,2198620.2583041266
3,대구광역시,12,0.82,1959639.7954449824
4,인천광역시,1,1.1,10772487.522681437
4,인천광역시,2,0.92,9009716.837151747
4,인천광역시,3,0.95,9303511.951406695
4,인천광역시,4,0.98,9597307.065661643
4,인천광역시,5,1.0,9793170.475164942
4,인천광역시,6,1.02,9989033.884668242
4,인천광역시,7,1.06,10380760.70367484
4,인천광역시,8,1.08,10576624.113178138
4,인천광역시,9,1.12,10968350.932184737
4,인천광역시,10,1.03,10086965.58941989
4,인천광역시,11,0.92,9009716.837151747
4,인천광역시,12,0.82,8030399.789635252
5,광주광역시,1,1.1,2131454.854719681
5,광주광역시,2,0.92,1782671.3330382789
5,광주광역시,3,0.95,1840801.919985179
5,광주광역시,4,0.98,1898932.5069320796
5,광주광역시,5,1.0,1937686.2315633465
5,광주광역시,6,1.02,1976439.9561946134
5,광주광역시,7,1.06,2053947.4054571474
5,광주광역시,8,1.08,2092701.1300884143
5,광주광역시,9,1.12,2170208.5793509483
5,광주광역시,10,1.03,1995816.818510247
