month,overall_index,Fresh_Food,FMCG_Packaged,Pharmaceuticals,Industrial_Materials,Durables_Electronics,Ecommerce_Misc
1,1.04,1.12,1.06,1.05123967,0.92,0.98,1.02
2,0.94,0.98,0.95,1.03140496,0.88,0.92,0.93
3,0.96,0.95,0.96,0.98181818,1.03,0.96,0.95
4,0.99,0.96,0.99,0.97190083,1.05,1.0,0.98
5,1.02,1.02,1.01,0.96198347,1.06,1.03,1.0
6,0.98,0.98,0.98,0.95206612,1.02,1.01,0.99
7,1.01,1.0,1.0,0.97190083,0.99,0.99,1.01
8,1.03,1.03,1.02,0.98181818,0.98,1.02,1.02
9,1.08,1.15,1.1,1.00165289,1.01,1.05,1.04
10,1.0,0.99,1.0,1.01157025,1.04,1.01,0.99
11,0.97,0.91,0.96,1.03140496,1.03,1.0,1.03
12,0.98,0.91,0.97,1.05123967,0.99,1.03,1.04
