rank,origin_region,destination_region,volume_ton,lane_type,share_of_total
1,경기도,경기도,150760265.3587083,intra-region,0.08606675121927157
2,전라남도,전라남도,106940476.03911825,intra-region,0.06105069744093294
3,울산광역시,울산광역시,81918109.85994987,intra-region,0.04676580772058195
4,충청남도,충청남도,77847068.20953709,intra-region,0.04444171172555503
5,인천광역시,인천광역시,68309251.02616368,intra-region,0.03899671640969293
6,강원특별자치도,강원특별자치도,57780548.00817832,intra-region,0.032986039384453825
7,경상남도,경상남도,48494326.86082348,intra-region,0.02768467643344757
8,경상북도,경상북도,46134614.532692075,intra-region,0.026337552418965973
9,경기도,충청남도,42764896.133224495,inter-region,0.024413831241665553
10,서울특별시,서울특별시,41436355.96,intra-region,0.023655387786411207
11,부산광역시,부산광역시,36777653.04373506,intra-region,0.02099580487877533
12,인천광역시,경기도,36553023.83017966,inter-region,0.020867567464270566
13,서울특별시,경기도,31883500.7717,inter-region,0.018201807501387834
14,경기도,부산광역시,25356389.0874,inter-region,0.014475578337646185
15,경기도,인천광역시,24724910.313215595,inter-region,0.014115076673440004
16,경상남도,부산광역시,24498995.779506393,inter-region,0.013986105489134214
17,충청남도,경기도,23971327.2836,inter-region,0.013684867539894962
18,전북특별자치도,전북특별자치도,23113969.261,intra-region,0.013195414835222482
19,경기도,서울특별시,21795517.295949496,inter-region,0.012442730585161184
20,경기도,경상북도,19633422.5922,inter-region,0.011208423478196651
21,부산광역시,경기도,18045941.0464,inter-region,0.010302154316740435
22,충청북도,충청북도,18037478.91,intra-region,0.01029732341128541
23,충청북도,경기도,17254578.3426,inter-region,0.009850377339629731
24,부산광역시,경상남도,16854827.469280995,inter-region,0.00962216562295643
25,울산광역시,부산광역시,16606375.747834923,inter-region,0.009480328299648325
26,경기도,충청북도,16543562.689302128,inter-region,0.009444469276256447
27,경상북도,부산광역시,16302730.4754,inter-region,0.009306981814356702
28,강원특별자치도,경기도,15821566.7956,inter-region,0.00903229276000566
29,경기도,경상남도,14109134.3024,inter-region,0.008054690995897807
30,경기도,전라남도,13230272.4494,inter-region,0.007552962080269509
31,충청북도,충청남도,12652595.33,inter-region,0.007223174965593319
32,강원특별자치도,경상북도,11799476.909346677,inter-region,0.0067361425854350265
33,경기도,울산광역시,11430567.1802,inter-region,0.006525537610674002
34,경기도,강원특별자치도,10656286.7267,inter-region,0.006083512631434472
35,부산광역시,경상북도,10366310.848651756,inter-region,0.005917969796283668
36,충청북도,경상북도,9598449.95,inter-region,0.005479609643639842
37,경기도,전북특별자치도,8928541.5005,inter-region,0.005097169060070824
38,충청북도,울산광역시,8557942.56,inter-region,0.0048855997401426095
39,부산광역시,울산광역시,8336968.479132187,inter-region,0.004759448985507719
40,제주특별자치도,제주특별자치도,7591323.4,intra-region,0.004333771507620228
41,서울특별시,경상북도,7392153.08,inter-region,0.004220068189700772
42,충청남도,충청북도,7331246.92,inter-region,0.004185297785788516
43,전라남도,경기도,7307074.5804,inter-region,0.004171498163362867
44,광주광역시,전라남도,7286426.3148,inter-region,0.004159710381388112
45,경상북도,경상남도,7234831.45,inter-region,0.004130255654823603
46,충청북도,전라남도,7155732.0629,inter-region,0.00408509901321824
47,강원특별자치도,충청북도,7132101.7543750005,inter-region,0.004071608828120616
48,서울특별시,경상남도,7106967.55,inter-region,0.004057260091668804
49,경상북도,경기도,7013659.3809,inter-region,0.004003991871706815
50,경상북도,울산광역시,7013277.97,inter-region,0.004003774130003028
51,충청남도,경상북도,6984252.58,inter-region,0.0039872039746359726
52,전북특별자치도,전라남도,6927695.0836000005,inter-region,0.003954916156883319
