hub_id,company_name,sido,address,matched_address,lat,lon,area_m2,fixed_cost,capacity_tons,storage_item,geocoding_status,temperature_zone
WH_00001,(주)하나로에스,경기도,경기도 화성시 병점구 안녕남로 131 (안녕동),경기 화성시 병점구 안녕남로 131,37.1968811678916,126.997462088068,3218.0,4505200.0,257440.0,Electronics,High-Confidence (Kakao),Ambient
WH_00005,한국로지스풀 주식회사,경기도,경기도 이천시 마장면 마도로223번길 89,경기 이천시 마장면 마도로223번길 89,37.2735722881343,127.350011185088,14090.17,19726238.0,1127213.6,General Merchandise,High-Confidence (Kakao),Cold_Chain
WH_00007,롯데글로벌로지스(주),세종특별자치시,세종특별자치시 부강면 부강외천로 206,세종특별자치시 부강면 부강외천로 206,36.5280144377004,127.38831220751,9575.36,18767705.599999998,612823.04,Industrial,High-Confidence (Kakao),Cold_Chain
WH_00008,롯데글로벌로지스(주),경상북도,경상북도 칠곡군 지천면 산단터널로 240,경북 칠곡군 지천면 산단터널로 240,35.9543081814529,128.442820948596,6916.8,6916800.0,691680.0,Food & Beverage,High-Confidence (Kakao),Ambient
WH_00009,푸드엔 물류센터,경상남도,"경상남도 김해시 대동면 대동산단6로 170, 3층",경남 김해시 대동면 대동산단6로 170,35.2739866661051,129.001751934386,11456.47,16039058.000000002,916517.6,Cold Storage,High-Confidence (Kakao),Ambient
WH_00010,한솔로지스유(주),경상남도,"경상남도 양산시 어곡공단6길 50, 4, 5층 (어곡동)",,35.2373,128.6919,17157.02,17157020.0,1715702.0,Industrial,Low-Confidence (Fallback),Ambient
WH_00012,주식회사 탑로지스,경기도,"경기도 이천시 호법면 덕평로 472-67, 켄달스퀘어 호법DC2 1,2층",경기 이천시 호법면 덕평로 472-67,37.2079126279408,127.390369880283,13469.28,18856992.0,1077542.4,Food & Beverage,High-Confidence (Kakao),Ambient
WH_00013,롯데글로벌로지스(주),경기도,경기도 여주시 가남읍 경충대로 1473-67,경기 여주시 가남읍 경충대로 1473-67,37.2081434232027,127.534859169379,21204.0,29685599.999999996,1696320.0,Fashion & Cosmetics,High-Confidence (Kakao),Cold_Chain
WH_00014,주식회사 딜리셔스,경기도,경기도 남양주시 오남읍 진건오남로667번길 64-32,경기 남양주시 오남읍 진건오남로667번길 64-32,37.6923242635854,127.209415041784,1996.0,1996000.0,199600.0,Fashion & Cosmetics,High-Confidence (Kakao),Ambient
WH_00015,주식회사 원에프엔씨,경기도,"경기도 이천시 마장면 이장로 148-46, 3,4층",경기 이천시 마장면 이장로 148-46,37.2649934304533,127.382848410719,13573.0,19002200.0,1085840.0,Fashion & Cosmetics,High-Confidence (Kakao),Cold_Chain
WH_00016,주식회사 휠라선,경기도,"경기도 김포시 양촌읍 학운산단5로가길 5, 9층 A호",경기 김포시 양촌읍 학운산단5로가길 5,37.6163281406644,126.593356876517,6673.62,6673620.0,667362.0,Fashion & Cosmetics,High-Confidence (Kakao),Ambient
WH_00017,(주)리치개발,경기도,"경기도 안성시 죽산면 송문주로 219, A동",경기 안성시 죽산면 송문주로 219,37.0275899297305,127.442816052063,3774.0,5283600.0,301920.0,Cold Storage,High-Confidence (Kakao),Cold_Chain
WH_00018,(주)씨제이대한통운,충청북도,충청북도 음성군 금왕읍 오선산단로 44-6,충북 음성군 금왕읍 오선산단로 44-6,36.9748397738482,127.569462288798,5910.0,8273999.999999999,472800.0,Food & Beverage,High-Confidence (Kakao),Cold_Chain
WH_00019,(주)씨제이대한통운,충청북도,충청북도 음성군 삼성면 대성로 355,충북 음성군 삼성면 대성로 355,36.9981561600885,127.497385289995,41090.0,41090000.0,4109000.0,Food & Beverage,High-Confidence (Kakao),Ambient
WH_00020,(주)씨제이대한통운,충청북도,충청북도 음성군 금왕읍 오선산단로 44-6,충북 음성군 금왕읍 오선산단로 44-6,36.9748397738482,127.569462288798,5907.0,5907000.0,590700.0,Food & Beverage,High-Confidence (Kakao),Ambient
WH_00021,(주)씨제이대한통운,충청북도,충청북도 음성군 대소읍 삼양로 1080,충북 음성군 대소읍 삼양로 1080,36.9524530870375,127.449471811251,71476.0,71476000.0,7147600.0,Food & Beverage,High-Confidence (Kakao),Ambient
WH_00022,주식회사 휠라선,경기도,경기도 안성시 양성면 양성로 301,경기 안성시 양성면 양성로 301,37.0803603364989,127.205581183079,12571.67,12571670.0,1257167.0,Fashion & Cosmetics,High-Confidence (Kakao),Ambient
WH_00023,씨제이대한통운 주식회사,충청북도,충청북도 진천군 이월면 미잠리 452-14,,36.6357,127.4913,5885.0,5885000.0,588500.0,General Merchandise,Low-Confidence (Fallback),Ambient
WH_00024,동원로엑스 주식회사,전라남도,전라남도 광양시 담안길 110 (태인동),전남 광양시 담안길 110,34.9411645573753,127.752144057192,28508.0,28508000.0,2850800.0,General Merchandise,High-Confidence (Kakao),Ambient
WH_00025,(주)위더스메디,부산광역시,부산광역시 남구 신선로 217-12 (감만동),부산 남구 신선로 217-12,35.1115459192348,129.088349877384,2999.12,4198768.0,239929.6,Medical,High-Confidence (Kakao),Ambient
WH_00027,로지비엠씨(주),경기도,경기도 안성시 일죽면 고목남길 95-31,경기 안성시 일죽면 고목남길 95-31,37.1217156922204,127.440511025582,5265.07,5265070.0,526507.0,General Merchandise,High-Confidence (Kakao),Ambient
WH_00029,씨제이대한통운 주식회사,충청북도,충청북도 진천군 이월면 궁동길 46-6,충북 진천군 이월면 궁동길 46-6,36.9045321101737,127.436122747604,4130.0,4130000.0,413000.0,Food & Beverage,High-Confidence (Kakao),Ambient
WH_00030,로지스팟한록 이천지점,경기도,"경기도 이천시 대월면 경충대로1687번길 205, 지하2층",경기 이천시 대월면 경충대로1687번길 205,37.2269448768482,127.511249269236,4487.2,4487200.0,448720.0,Food & Beverage,High-Confidence (Kakao),Ambient
WH_00031,씨제이대한통운(주),경기도,경기도 남양주시 진접읍 남가로131번길 7-1,경기 남양주시 진접읍 남가로131번길 7-1,37.6941553966786,127.178110534504,3963.17,3963170.0,396317.0,General Merchandise,High-Confidence (Kakao),Ambient
WH_00032,롯데글로벌로지스(주),경기도,경기도 안성시 서운면 서미로 51,경기 안성시 서운면 서미로 51,36.9304144242648,127.223868637225,30647.0,30647000.0,3064700.0,Food & Beverage,High-Confidence (Kakao),Ambient
WH_00034,주식회사 한진,경기도,"경기도 김포시 양촌읍 학운산단5로가길 22, 3층",경기 김포시 양촌읍 학운산단5로가길 22,37.6143657106055,126.591739084292,12725.830000000002,24942626.799999997,814453.1200000003,Food & Beverage,High-Confidence (Kakao),Cold_Chain
WH_00035,롯데글로벌로지스 주식회사,경기도,"경기도 김포시 양촌읍 학운산단5로가길 22, 5층",경기 김포시 양촌읍 학운산단5로가길 22,37.6143657106055,126.591739084292,25597.71,35836794.0,2047816.8,Electronics,High-Confidence (Kakao),Ambient
WH_00036,주식회사 두발로싹스,경기도,경기도 의정부시 쌀광길 69 (고산동),경기 의정부시 쌀광길 69,37.7335682903316,127.109453970707,271.06,271060.0,27106.0,Fashion & Cosmetics,High-Confidence (Kakao),Ambient
WH_00039,주식회사 대연산업사,경상남도,경상남도 진주시 문산읍 동부로 605,경남 진주시 문산읍 동부로 605,35.1686348882429,128.166184761801,4367.02,4367020.0,436702.00000000006,General Merchandise,High-Confidence (Kakao),Ambient
WH_00040,주식회사 렉스몬드,경기도,"경기도 군포시 번영로 82-2, 한국복합물류(주) B동 B동 5층 (부곡동)",경기 군포시 번영로 82-2,37.330388813041,126.940171104586,8515.7,8515700.0,851570.0000000001,Fashion & Cosmetics,High-Confidence (Kakao),Ambient
WH_00041,(주)비지에프로지스 서인천센터,인천광역시,"인천광역시 서구 원석로 196, 1층 (원창동)",인천 서구 원석로 196,37.5136504762534,126.642759295262,14118.48,14118480.0,1411848.0,Cold Storage,High-Confidence (Kakao),Ambient
WH_00042,씨제이대한통운(주) 빽다방센터,경기도,"경기도 이천시 대월면 경충대로1687번길 205, 지하 2층",경기 이천시 대월면 경충대로1687번길 205,37.2269448768482,127.511249269236,6013.25,6013250.0,601325.0,Cold Storage,High-Confidence (Kakao),Ambient
WH_00043,주식회사 신안스퀘어,경기도,"경기도 고양시 일산동구 탑삭골길 371-11, 가동 1, 3층 (설문동)",경기 고양시 일산동구 탑삭골길 371-11,37.72728040497,126.795322038047,1367.4,1914360.0,109392.0,Medical,High-Confidence (Kakao),Ambient
WH_00044,에스지씨이앤씨 주식회사,경기도,경기도 안성시 원곡면 남북대로 1048-6,경기 안성시 원곡면 남북대로 1048-6,37.0342865303922,127.144800400571,22733.71,31827193.999999996,1818696.8,Cold Storage,High-Confidence (Kakao),Cold_Chain
WH_00045,(주)디에스브이컨트랙트로지스틱스,경기도,"경기도 화성시 동탄구 동탄산단3길 19-22, 상원로지스틱 (방교동)",경기 화성시 동탄구 동탄산단3길 19-22,37.1628113379959,127.083662480479,2889.26,4044963.9999999995,231140.80000000002,Electronics,High-Confidence (Kakao),Cold_Chain
WH_00046,대화물류(주),경기도,경기도 이천시 마장면 억만리로22번길 221-28,경기 이천시 마장면 억만리로22번길 221-28,37.2592883030709,127.371602524801,11593.67,16231137.999999998,927493.6000000001,General Merchandise,High-Confidence (Kakao),Cold_Chain
WH_00048,주식회사 현아로지스,경기도,경기도 용인시 처인구 원삼면 맹리로 76-9,경기 용인시 처인구 원삼면 맹리로 76-9,37.1952389399756,127.334346370292,1890.0,1890000.0,189000.0,Electronics,High-Confidence (Kakao),Ambient
WH_00049,(주)나라로지스틱스 백사센터,경기도,경기도 이천시 백사면 청백리로393번길 353,경기 이천시 백사면 청백리로393번길 353,37.327415163623,127.492345780283,16052.3,16052300.0,1605230.0,Food & Beverage,High-Confidence (Kakao),Ambient
WH_00050,주식회사 메이크스타,경기도,경기도 이천시 마장면 덕평로 965,경기 이천시 마장면 덕평로 965,37.2441839332438,127.361142301973,6967.47,9754458.0,557397.6,General Merchandise,High-Confidence (Kakao),Ambient
WH_00051,오진상사 주식회사,경기도,"경기도 김포시 양촌읍 황금산단3로 77, 4층",경기 김포시 양촌읍 황금산단3로 77,37.5993349233118,126.601669632492,3277.97,4589158.0,262237.60000000003,Electronics,High-Confidence (Kakao),Ambient
WH_00052,(주)케이씨티시 백암물류센터,경기도,경기도 용인시 처인구 백암면 고안로51번길 136-14,경기 용인시 처인구 백암면 고안로51번길 136-14,37.1401826338214,127.412722673481,10221.0,14309400.0,817680.0,Medical,High-Confidence (Kakao),Ambient
WH_00053,롯데글로벌로지스(주),경기도,경기도 안성시 원곡면 지문로 459-14,경기 안성시 원곡면 지문로 459-14,37.074163739564,127.152682183917,50244.41,70342174.0,4019552.8,Electronics,High-Confidence (Kakao),Ambient
WH_00054,글로벌통상주식회사,경상남도,경상남도 함양군 지곡면 함양로 2375,경남 함양군 지곡면 함양로 2375,35.6010409478694,127.774748731385,3388.75,3388750.0,338875.0,Cold Storage,High-Confidence (Kakao),Ambient
WH_00056,(주)케이씨티시 백암물류센터,경기도,경기도 용인시 처인구 백암면 고안로51번길 136-11,경기 용인시 처인구 백암면 고안로51번길 136-11,37.1407163999677,127.413761837391,10669.0,14936599.999999998,853520.0,Medical,High-Confidence (Kakao),Cold_Chain
