region_code,region_name,outbound_volume,inbound_volume,total_volume
8,경기도,375770956.8384,325091951.98698795,700862908.825388
11,충청남도,158530375.1027,176317251.7437616,334847626.8464616
13,전라남도,156441557.2885,168221850.26271826,324663407.5512183
2,부산광역시,109274584.43710001,153340818.97097638,262615403.4080764
7,울산광역시,111816887.2205,143715814.1841522,255532701.40465218
4,인천광역시,136694152.7841,117518045.70197928,254212198.48607928
14,경상북도,106614453.169,136584699.92732787,243199153.09632787
15,경상남도,101971893.8939,130230315.0046614,232202208.89856142
1,서울특별시,132224862.1703,84304173.47678536,216529035.64708537
9,강원도,125897247.7629,88078600.69504847,213975848.45794845
10,충청북도,103539877.3875,74469453.08523838,178009330.4727384
12,전라북도,65583011.1516,61512415.93714252,127095427.08874252
5,광주광역시,25567876.6603,23252234.778760154,48820111.43906015
3,대구광역시,19032542.724,28677655.543097302,47710198.2670973
6,대전광역시,3859967.3182,21508060.6241629,25368027.9423629
17,세종특별자치시,11255168.6932,11252072.6794,22507241.3726
16,제주특별자치도,7591323.4,7591323.4,15182646.8
