Demand_Region,Hub,Flow,Distance
경기도,경기도,700862910.0,0.0
충청남도,충청남도,334847630.0,0.0
전라남도,전라남도,324663410.0,0.0
부산광역시,부산광역시,262615400.0,0.0
울산광역시,울산광역시,255532700.0,0.0
인천광역시,인천광역시,254212200.0,0.0
경상북도,경상북도,243199150.0,0.0
경상남도,경상남도,232202210.0,0.0
서울특별시,인천광역시,216529040.0,27.042700298442366
강원도,경기도,213975850.0,92.72505675761712
충청북도,충청북도,178009330.0,0.0
전라북도,전라북도,127095430.0,0.0
광주광역시,전라남도,48820111.0,52.127923154971484
대구광역시,경상남도,47710198.0,70.72371796570415
대전광역시,세종특별자치시,25368028.0,16.738732479158877
세종특별자치시,세종특별자치시,22507241.0,0.0
제주특별자치도,전라남도,15182647.0,147.2449739640304
