Demand_Region,Hub,Demand,Distance
경기도,경기도,700862908.825388,0.0
충청남도,충청남도,334847626.8464616,0.0
전라남도,전라남도,324663407.5512183,0.0
부산광역시,부산광역시,262615403.4080764,0.0
울산광역시,부산광역시,255532701.40465215,45.21019247495992
인천광역시,경기도,254212198.48607928,35.75215658354008
경상북도,경상북도,243199153.09632787,0.0
경상남도,부산광역시,232202208.89856145,35.51289304394774
서울특별시,경기도,216529035.64708537,33.914604478448034
강원도,강원도,213975848.45794845,0.0
충청북도,충청북도,178009330.4727384,0.0
전라북도,충청북도,127095427.08874252,95.17824302726912
광주광역시,전라남도,48820111.43906015,52.127923154971484
대구광역시,경상북도,47710198.2670973,78.65763250072658
대전광역시,충청북도,25368027.9423629,33.063158701884504
세종특별자치시,충청북도,22507241.3726,25.02286933500404
제주특별자치도,전라남도,15182646.8,147.2449739640304
